on x=-48..-2,y=-16..31,z=-3..41
on x=-12..39,y=-38..9,z=-28..21
on x=-16..33,y=-33..21,z=-40..8
on x=-14..30,y=-29..18,z=-18..29
on x=-33..14,y=-36..12,z=-21..28
on x=-34..20,y=-30..20,z=-13..33
on x=-43..11,y=1..48,z=-28..25
on x=-23..22,y=-12..32,z=-29..18
on x=-44..1,y=-5..41,z=-6..48
on x=-41..13,y=-31..19,z=-26..18
off x=-5..13,y=-48..-29,z=-33..-20
on x=-8..40,y=-36..8,z=-34..13
off x=-23..-7,y=26..37,z=11..29
on x=-11..40,y=-10..36,z=-5..48
off x=-35..-19,y=19..31,z=-9..6
on x=-36..13,y=-10..35,z=-15..32
off x=-14..-1,y=-26..-14,z=3..19
on x=-31..22,y=-1..44,z=-23..21
off x=31..45,y=-6..11,z=36..45
on x=0..45,y=-21..27,z=-28..20
on x=30018..52561,y=6820..20726,z=63544..81739
on x=-12143..23022,y=-84313..-63483,z=-45882..-29438
on x=34379..56241,y=58539..64035,z=-51399..-36175
on x=20414..51225,y=67632..84230,z=261..25692
on x=-30322..-3413,y=-96283..-74361,z=-7132..15526
on x=41346..72979,y=44177..58741,z=-38966..-20231
on x=-76619..-64547,y=-53064..-33185,z=6096..24378
on x=-32017..-17542,y=-23075..7976,z=55865..91850
on x=61944..68272,y=22278..36117,z=28646..51063
on x=37369..50069,y=60607..89138,z=-9622..8378
on x=-30712..-1552,y=59522..79842,z=5936..22780
on x=-47571..-43277,y=18063..35987,z=42141..61056
on x=64931..89191,y=-16962..-1182,z=33372..51388
on x=-3013..15119,y=-90480..-59390,z=-18902..1676
on x=47444..67758,y=-35777..-9036,z=36201..40241
on x=-23196..2837,y=-94027..-76580,z=-22611..-3739
on x=-40888..-19043,y=33978..56998,z=-79730..-57967
on x=-55218..-41130,y=-51338..-24192,z=38709..45492
on x=20835..39465,y=63255..74538,z=-32818..1309
on x=50526..70358,y=26288..44594,z=20486..46813
on x=-55900..-41256,y=36929..56641,z=42182..55418
on x=-6292..24911,y=23200..52051,z=-78497..-64799
on x=-22993..-15620,y=-42648..-29865,z=56516..74921
on x=-10455..1028,y=44767..55433,z=57354..65082
on x=-22851..-5411,y=70600..94549,z=-18073..10255
on x=-19154..6620,y=-56579..-29797,z=55393..83524
on x=-45086..-25318,y=-47151..-39211,z=51311..74140
on x=14390..31150,y=-8305..21424,z=-88271..-73773
on x=42411..57961,y=21096..39954,z=52141..75788
on x=50761..72024,y=18482..39759,z=-53175..-25119
on x=-50828..-34195,y=69974..86753,z=-4801..7809
on x=59302..76408,y=-42741..-32063,z=-32229..-19597
on x=2259..24659,y=38628..67080,z=57512..71265
on x=-63116..-50412,y=-20394..-5948,z=44304..77527
on x=-39256..-19815,y=-31315..-6816,z=71274..90202
on x=-19420..7175,y=-46211..-33937,z=57590..67633
on x=18849..43254,y=27280..47087,z=-73310..-49750
on x=51914..83941,y=1868..24413,z=38007..43741
on x=-31955..-10728,y=-46695..-28478,z=-68532..-57207
on x=13266..44498,y=-23770..-10739,z=-78818..-54908
on x=-27122..4898,y=-25710..3887,z=-94527..-59564
on x=36471..52550,y=2091..11302,z=-71806..-53300
on x=-29278..-15660,y=42703..61909,z=41295..74313
on x=-78786..-59246,y=20108..36447,z=-30096..-22646
on x=33280..51358,y=28735..46185,z=-58899..-51567
on x=-63430..-48753,y=11717..29885,z=51110..66094
on x=-20497..-9891,y=-31900..-20788,z=-89539..-67559
on x=45302..70084,y=-45484..-38703,z=23542..38279
on x=60469..82495,y=34560..57829,z=7300..38847
on x=-50906..-48557,y=-55522..-47617,z=34501..50354
on x=-35248..-25891,y=-30616..-7734,z=59805..74160
on x=-6235..13422,y=-38946..-22557,z=70346..76849
on x=23278..45299,y=66495..78065,z=-40456..-19885
on x=-29845..255,y=-90442..-65331,z=-29708..-13203
on x=50779..78122,y=-38475..-10414,z=33534..47270
on x=33348..55006,y=-9614..-7327,z=60925..74326
on x=6195..18938,y=-30793..8896,z=-87641..-76448
on x=-26701..-6028,y=68882..89257,z=-43505..-10519
on x=-32492..-15662,y=54488..73189,z=7686..31548
on x=76214..87289,y=9042..22428,z=-34882..-15020
on x=-9253..20910,y=-70775..-37377,z=-73641..-51445
on x=-7377..15869,y=-92615..-70046,z=16693..34496
on x=-94082..-59297,y=5057..40008,z=-15833..9975
on x=51765..71645,y=-45744..-16590,z=-57853..-31559
on x=47413..71230,y=38010..63699,z=16719..42903
on x=-22724..-10616,y=56663..71841,z=-51072..-27339
